9.87,-0.345,-0.425,-0.023,-0.058,0.047,491.1,470.55,-214.65
9.654,-0.616,0.078,0.008,-0.383,0.093,490.2,468.3,-215.7
10.075,-0.852,0.299,0.187,-0.176,0.131,489.9,466.65,-214.95
9.303,-1.351,-0.079,0.281,0.046,0.02,489.75,471.3,-213.6
9.982,-0.033,0.37,0.329,-0.025,-0.191,491.25,471.45,-215.7
9.4,0.904,0.218,0.298,-0.018,-0.152,486.9,452.7,-217.35
9.841,1.366,-0.054,0.298,-0.121,-0.081,488.25,452.7,-217.35
10.153,1.993,0.043,0.337,-0.105,-0.23,487.2,452.7,-215.4
9.187,1.852,-0.782,0.291,0.007,-0.262,485.7,456.9,-214.5
10.501,1.735,-2.171,0.385,0.102,-0.176,486.75,457.35,-211.95
8.759,0.739,-2.876,0.445,0.316,0.011,487.5,456.6,-216.3
9.352,0.323,-2.463,0.461,0.499,0.01,487.65,446.85,-216.6
9.962,0.459,-2.452,0.391,0.387,0.121,489.9,443.55,-217.8
9.669,0.594,-2.292,0.294,0.221,0.544,488.85,446.25,-219.75
9.722,0.537,-2.188,0.169,-0.042,0.544,487.8,445.65,-218.25
10.12,0.675,-1.84,0.146,-0.113,0.443,489.45,446.85,-218.85
10.021,1.097,-1.334,0.055,-0.049,0.194,490.05,445.05,-217.35
10.019,1.683,-0.844,0.064,-0.097,-0.096,490.05,444.3,-218.1
9.351,2.153,-0.123,0.001,-0.074,-0.017,488.7,446.1,-219.9
9.6,2.457,-0.176,0.07,-0.081,0.076,487.65,447.75,-219.45
9.787,2.721,-0.023,-0.069,0.006,0.101,488.25,448.8,-217.35
8.756,2.852,-0.182,-0.192,0.092,-0.008,487.95,451.95,-215.85
9.616,3.4,-0.725,-0.184,-0.019,-0.102,487.2,454.05,-215.4
8.837,3.263,-1.3,-0.261,-0.011,-0.313,487.2,453.6,-215.4
9.441,3.191,-0.468,-0.314,0.053,-0.437,487.8,457.65,-218.25
9.702,2.613,-0.605,-0.577,-0.114,-0.71,487.95,458.85,-216.9
9.862,2.549,-0.755,-0.802,-0.274,-0.786,488.55,460.35,-217.05
9.265,2.522,-0.874,-0.997,-0.338,-0.824,487.8,457.95,-217.5
9.321,2.42,-1.075,-0.733,-0.345,-0.755,489.75,460.95,-215.4
9.982,2.458,-0.805,-0.416,-0.273,-0.585,488.55,463.2,-216.75
9.632,2.741,-0.725,-0.02,-0.049,-0.315,488.1,462.75,-216
9.481,2.713,-0.814,0.105,0.086,-0.3,490.05,464.4,-216.15
9.251,2.737,-0.885,0.291,0.062,-0.333,488.25,465.45,-216.15
9.44,2.599,-0.662,0.354,0.07,-0.348,488.85,466.2,-216.75
9.657,2.606,-0.479,0.454,0.062,-0.146,487.65,463.95,-216.6
9.349,2.687,-0.452,0.529,-0.025,0.152,489.6,462.75,-217.8
9.543,2.862,-0.567,0.637,0.007,0.307,490.2,464.25,-219
9.063,2.958,-0.391,0.396,0.07,0.27,488.7,463.05,-215.4
9.299,3.074,-0.467,0.101,0.07,0.248,490.65,461.7,-218.25
9.364,2.755,-0.768,-0.03,0.022,0.038,487.65,462,-215.85
9.579,2.789,-0.631,-0.068,-0.035,-0.071,489.15,462.75,-216.75
9.956,3.005,-1.163,-0.13,0.124,-0.071,488.1,464.25,-217.5
8.562,2.68,-1.444,-0.099,0.061,0.046,489.6,463.8,-217.5
9.62,2.495,-2.39,-0.178,0.005,0.101,488.85,463.8,-218.55
8.826,2.491,-1.739,-0.007,-0.113,0.054,488.55,462.45,-215.25
10.945,3.027,-0.475,0.056,-0.097,-0.026,489.15,462.45,-216.75
8.692,2.752,0.266,0.041,-0.034,-0.065,489.15,463.8,-217.8
8.844,2.744,0.322,0.063,-0.058,0.022,489.45,464.4,-216.15
7.282,0.958,0.028,0.017,0.013,-0.033,490.95,464.85,-218.25
10.076,2.149,-1.352,-0.029,0.069,-0.064,491.1,463.95,-215.85
7.321,1.037,-1.277,-0.021,0.013,-0.111,490.5,465,-217.35
8.1,1.472,-1.035,-0.061,0.022,-0.032,490.65,461.4,-217.8
8.647,-0.131,-0.42,-0.069,-0.065,0.077,488.55,462.15,-217.05
10.901,-0.006,-0.286,-0.046,-0.09,0.054,489.6,465.15,-220.05
11.302,0.494,-0.333,0.017,0.045,0.077,488.55,465.9,-219.3
11.21,-0.03,-0.251,0.01,0.038,-0.026,488.7,466.8,-218.85
