9.927,0.277,0.045,0.032,-0.089,0.09,492,470.1,-217.05,,
9.735,-0.234,0.627,-2.279,-0.277,0.066,490.05,465.75,-216.15,,
10.134,-0.338,0.512,-1.589,-0.37,0.266,489.6,463.8,-217.05,,
10.421,0.071,-0.078,-1.191,-0.401,0.068,489.9,463.8,-217.5,,
8.533,-3.029,-2.168,-0.791,-0.266,-0.233,490.2,463.2,-217.5,,
10.305,-3.723,-1.759,-0.534,-0.003,-0.187,485.85,468.9,-216.15,,
10.301,-3.015,-0.25,-0.206,0.061,-0.244,486.9,464.4,-219.15,,
10.09,-2.151,-0.069,-0.122,0.26,-0.143,487.8,463.2,-218.25,,
9.513,-1.66,-1.096,0.042,0.205,-0.238,486.3,460.35,-218.25,,
9.95,-0.39,0.112,0.29,0.039,-0.091,484.05,462,-214.35,,
10.043,-0.423,-0.174,0.444,-0.065,0.057,483.75,461.25,-211.05,,
9.142,-0.56,-0.297,-0.098,0.061,-0.276,484.2,458.7,-214.2,,
9.966,-1.104,0.086,-0.401,0.022,-0.337,485.55,458.85,-212.55,,
10.133,-0.508,0.674,-0.207,0.109,-0.182,484.65,454.95,-213.45,,
9.916,-1.163,-0.503,-0.053,0.093,0.091,484.35,453.3,-215.1,,
10.29,-0.145,-0.155,0.164,0.142,0.105,485.1,454.65,-215.4,,
10.163,0.765,0.39,0.203,0.205,0.105,485.1,454.35,-213.6,,
9.574,0.326,-0.817,0.033,0.228,-0.027,484.65,453.45,-213.45,,
9.612,0.678,-0.387,0.065,0.165,-0.144,483,451.65,-213.6,,
10.131,0.039,-0.777,0.36,0.293,-0.076,483.9,455.25,-213.75,,
10.026,0.266,-0.032,0.662,0.214,0.141,484.35,455.7,-212.85,,
9.875,0.271,-0.179,0.64,0.222,-0.086,483.15,456.6,-213.75,,
10.468,0.016,-0.135,0.204,0.133,-0.067,485.55,456.75,-213.9,,
10.242,-0.01,-0.405,-0.175,0.228,-0.306,484.05,457.8,-214.35,,
9.417,0.253,-1.14,-0.326,0.132,0.077,484.05,456.75,-214.65,,
9.55,0.541,-1.001,-0.325,0.204,-0.002,483.15,457.35,-212.7,,
10.005,0.185,-1.194,-0.527,0.1,-0.062,484.2,456.9,-214.2,,
9.555,0.765,-0.858,-0.644,0.044,0.025,483,457.05,-213.9,,
9.746,0.705,-0.848,-0.471,-0.051,-0.258,485.1,456.75,-211.05,,
9.908,0.334,-1.22,-0.348,-0.051,-0.126,485.55,459.15,-214.65,,
9.985,0.592,-0.97,-0.293,-0.019,-0.08,484.8,457.5,-214.65,,
9.761,0.872,-0.784,-0.309,-0.01,-0.087,483.75,457.5,-214.35,,
9.516,0.983,-1.197,-0.099,0.006,-0.065,485.25,456.3,-214.2,,
10.014,0.847,-1.018,-0.075,-0.01,-0.159,483.9,455.25,-213,,
9.288,1.396,-0.969,0.065,0.094,-0.231,482.55,453.9,-210.75,,
9.497,1.677,-1.062,0.05,0.228,-0.301,483.9,452.85,-203.4,,
9.931,1.489,-0.923,0.034,0.125,-0.293,483.3,454.65,-201,,
9.865,2.047,-0.812,0.129,-0.041,-0.379,481.95,454.05,-202.5,,
9.174,1.905,-0.93,-0.113,-0.224,-0.354,482.7,451.2,-202.5,,
9.454,1.458,-0.959,-0.145,-0.248,-0.386,482.7,454.65,-201.45,,
9.445,1.13,-1.164,0.01,-0.184,-0.316,483.15,454.5,-201.9,,
10.304,0.86,-0.834,0.19,-0.033,-0.2,481.2,454.35,-204,,
10.068,0.933,-0.837,0.15,0.007,-0.074,483.75,451.2,-202.8,,
9.289,1.365,-1.038,0.032,-0.041,-0.058,481.8,453.45,-205.2,,
9.6,0.885,-1.135,0.118,0.007,-0.067,483.15,452.85,-205.95,,
9.826,0.888,-0.769,0.258,0.038,-0.005,484.2,452.4,-209.7,,
9.999,0.829,-0.667,0.267,0.07,-0.114,483,450.6,-209.55,,
9.762,0.706,-0.812,0.314,0.102,-0.192,483.6,452.1,-207.9,,
9.765,0.764,-0.823,0.205,0.101,-0.177,482.85,451.8,-206.4,,
9.664,0.706,-0.737,0.165,0.101,-0.067,483.15,456.6,-206.7,,
9.736,0.477,-0.628,0.18,0.054,0.082,482.55,456.9,-206.7,,
10.173,0.317,-0.362,0.203,0.046,0.105,482.55,462.75,-202.65,,
9.861,0.21,-0.652,0.213,0.101,-0.2,482.85,466.95,-203.1,,
9.891,0.34,-0.809,0.157,0.069,-0.083,482.25,467.1,-202.05,,
9.58,0.575,-0.714,0.127,0.069,-0.083,483,467.4,-203.25,,
9.705,0.582,-0.574,0.087,0.069,0.051,482.7,465,-202.05,,
9.902,1.012,-0.374,0.087,0.014,0.043,483,467.1,-202.8,,
9.76,0.837,-0.517,0.071,-0.034,0.019,481.8,465.15,-203.4,,
9.715,0.401,-0.787,0.025,0.014,-0.043,481.8,465.9,-201.15,,
9.963,0.157,-0.816,-0.029,0.046,-0.121,483.6,467.25,-203.85,,
9.868,0.284,-0.743,-0.061,-0.009,-0.026,483.9,467.7,-207.15,,
9.734,0.436,-0.732,-0.045,-0.034,-0.003,483.3,466.05,-207.6,,
9.792,0.52,-0.725,-0.008,-0.073,0.216,482.7,464.7,-209.85,,
9.667,0.613,-0.769,0.03,-0.034,0.246,482.55,464.55,-208.65,,
9.753,0.489,-0.589,0.147,-0.073,0.363,482.25,462.3,-208.8,,
9.841,0.456,-0.465,0.271,-0.12,0.339,481.35,459,-207.9,,
9.743,0.228,-0.855,0.272,-0.017,0.151,483.3,458.85,-207.6,,
9.807,0.342,-0.814,0.117,0.085,0.129,483.3,463.05,-209.55,,
9.792,0.548,-0.601,0.058,0.014,-0.176,483,460.95,-208.35,,
9.765,0.498,-0.664,-0.022,-0.018,-0.058,484.8,462.3,-211.05,,
9.729,0.369,-0.606,-0.03,0.007,0.083,483.6,462.45,-210.15,,
9.965,0.099,-0.674,0,-0.018,0.138,483.15,461.4,-209.4,,
9.931,0.368,-0.51,0.056,-0.081,0.035,482.85,460.8,-208.95,,
9.723,0.805,-0.249,-0.054,-0.041,0.138,484.2,462.75,-208.65,,
9.935,1.087,-0.199,-0.006,-0.034,0.012,483.9,467.25,-204.9,,
9.695,0.614,-0.468,-0.038,0.006,-0.019,484.2,469.05,-204.45,,
10.101,0.498,-0.526,-0.006,-0.018,0.044,481.05,468,-201.9,,
9.673,0.781,-0.694,-0.053,0.03,0.044,482.85,466.65,-201.6,,
9.483,0.743,-0.888,-0.115,-0.018,-0.019,483.3,465,-202.05,,
9.668,0.528,-1.074,-0.138,-0.057,-0.033,483.3,466.8,-200.25,,
9.963,0.275,-0.992,-0.069,-0.145,0.036,480.9,461.25,-199.2,,
10.184,0.638,-1.019,-0.077,-0.176,0.06,480.75,463.2,-200.1,,
9.287,0.491,-2.025,-0.085,-0.05,0.06,482.55,462.75,-200.1,,
8.704,-1.021,-3.579,0.016,-0.097,0.122,482.25,466.35,-199.2,,
8.995,-1.676,-4.498,0.031,-0.025,0.044,484.95,471.45,-198.9,,
9.056,-1.923,-4.958,-0.007,0.109,0.099,483.3,472.95,-198,,
9.134,-0.725,-3.974,0.126,0.062,0.011,483.9,471.75,-199.65,,
9.225,0.649,-2.582,0.071,0.023,-0.035,483.75,467.4,-202.5,,
9.449,0.876,-2.972,0.142,-0.025,-0.113,483.15,462.45,-205.95,,
9.439,1.105,-2.85,0.009,-0.009,-0.02,484.2,461.4,-206.7,,
9.273,1.067,-2.898,-0.023,-0.034,0.06,482.25,462.6,-210.6,,
9.223,0.665,-3.208,0.11,-0.065,0.035,482.85,463.5,-210.15,,
9.252,0.489,-3.386,0.11,0.023,0.043,482.85,463.5,-210.15,,
9.354,0.511,-3.121,0.071,0.053,0.004,483.75,463.35,-209.85,,
9.48,0.816,-2.359,-0.069,0.014,0.122,481.95,460.2,-209.55,,
9.4,0.835,-2.381,-0.092,0.053,0.06,481.8,460.8,-206.4,,
9.301,1.09,-2.908,-0.171,0.006,0.091,483.15,464.25,-205.2,,
8.926,0.496,-3.413,-0.099,0.037,0.036,482.7,462,-207,,
9.364,0.7,-2.809,-0.015,-0.009,0.028,482.7,462.3,-205.8,,
9.777,0.674,-2.82,-0.029,0.007,-0.089,484.35,462.6,-207.6,,
9.248,0.956,-3.099,-0.038,0.006,-0.019,483,465,-210.3,,
8.846,1.074,-3.256,0.041,0.014,-0.019,483.15,465.9,-211.95,,
9.468,1.067,-2.959,0.048,-0.018,-0.059,484.8,467.4,-210.6,,
9.55,0.951,-2.356,0.002,0.03,-0.073,482.7,466.05,-210.3,,
9.5,0.722,-2.459,-0.038,-0.018,-0.042,482.85,464.85,-208.65,,
8.994,1.257,-2.766,-0.069,0.014,0.029,483.3,460.2,-207,,
9.525,1.256,-2.778,-0.062,-0.002,0.068,483.3,462.3,-208.05,,
9.56,1.29,-2.345,-0.015,-0.034,0.067,481.2,465.75,-207.3,,
9.244,1.561,-2.025,0.001,0.038,-0.004,484.05,468.9,-204.3,,
9.896,1.27,-1.599,-0.077,0.006,0.114,486.3,475.2,-203.1,,
9.494,2.473,-0.991,-0.061,0.046,0.013,488.1,479.4,-202.65,,
9.143,3.021,-1.067,0.009,-0.066,-0.043,486.15,477.75,-199.5,,
9.06,3.252,-1.454,-0.006,-0.002,0.02,486.3,475.95,-199.35,,
9.1,3.395,-1.59,0.048,-0.057,0.005,483.3,473.7,-198.45,,
9.101,3.253,-1.842,0.017,-0.05,-0.004,485.55,473.7,-193.95,,
9.183,3.311,-1.919,-0.029,0.046,-0.019,486,474.45,-194.1,,
9.081,2.101,-3.305,-0.03,-0.009,0.02,484.95,472.05,-194.55,,
8.88,2.035,-2.623,-0.069,-0.002,0.029,486,473.85,-193.05,,
9.896,2.886,-0.742,-0.124,-0.002,0.052,485.85,475.65,-189.9,,
9.781,3.413,-0.237,-0.045,-0.009,-0.066,487.2,476.1,-192.15,,
9.224,3.394,-0.952,-0.068,-0.025,-0.034,483.9,473.55,-193.05,,
8.446,3.957,-1.174,-0.022,0.007,-0.058,483.9,470.1,-191.25,,
8.849,3.672,-0.927,-0.075,0.038,-0.097,483.9,469.35,-191.55,,
9.028,3.402,-0.272,-0.138,0.038,-0.042,483.3,468.9,-193.2,,
9.524,2.902,-0.123,-0.193,0.077,-0.041,484.35,468.9,-195.75,,
9.492,2.139,-0.093,-0.395,0.108,-0.008,484.65,470.7,-193.35,,
10.198,1.524,-0.273,-0.535,0.156,0.087,484.8,471.6,-196.95,,
9.646,1.359,-0.461,-0.551,0.1,0.039,484.95,473.1,-196.8,,
9.704,1.32,-0.126,-0.504,0.092,-0.094,485.85,473.25,-196.5,,
9.804,1.633,-0.332,-0.542,0.124,-0.156,484.35,472.95,-194.7,,
9.314,0.801,-0.878,-0.457,0.132,-0.102,483.15,470.7,-193.8,,
10.452,1.332,-0.632,-0.388,0.084,-0.063,484.65,470.4,-192.6,,
9.774,1.149,-0.997,-0.241,0.196,0.139,483.75,467.1,-197.7,,
9.298,2.051,-0.788,-0.201,0.236,0.147,483.3,463.35,-200.7,,
9.677,1.56,-0.939,-0.194,0.18,0.115,483.3,465.75,-205.5,,
9.719,1.297,-0.869,-0.147,0.164,0.061,483.6,468,-206.7,,
9.838,1.505,-0.808,-0.326,0.298,0.092,485.25,469.05,-207.9,,
9.584,2.106,-0.751,-0.355,0.442,-0.095,483,466.8,-207.3,,
9.576,2.113,-0.844,-0.457,0.592,-0.008,482.55,461.1,-204.9,,
9.616,2.066,-1.016,-0.59,0.623,0.11,483.6,462.75,-203.4,,
9.538,2.003,-1.056,-0.568,0.552,0.298,482.85,465.6,-202.35,,
9.51,1.83,-1.083,-0.38,0.441,0.258,483.15,465.6,-203.85,,
9.599,1.765,-1.004,-0.115,0.41,0.123,481.95,468.15,-205.5,,
9.652,1.68,-0.839,0.173,0.181,0.059,484.05,469.5,-208.35,,
9.659,1.991,-0.484,0.422,0.039,-0.085,485.1,471.3,-210.3,,
9.496,2.777,0.417,0.772,-0.064,-0.064,484.8,470.85,-211.05,,
9.522,1.945,-0.384,0.842,-0.127,-0.15,483.3,466.35,-208.35,,
8.826,0.754,-1.203,0.74,-0.19,-0.165,486,471,-211.2,,
7.803,-0.527,-1.79,0.399,-0.097,-0.163,485.1,470.25,-211.8,,
7.481,0.83,-0.952,0.19,0.054,-0.138,486.15,471.6,-212.1,,
8.457,0.531,-0.974,0.204,0.039,-0.051,486.3,472.5,-211.2,,
9.929,0.028,-1.152,0.22,-0.065,-0.138,487.05,472.5,-213,,
12.582,-0.191,-1.268,0.103,-0.018,-0.028,483.6,470.4,-211.2,,
12.919,-0.315,-1.234,0.095,0.039,-0.074,482.25,465.45,-208.35,,
13.258,-0.874,-1.335,0.064,0.125,0.012,483.15,467.25,-205.95,,
12.834,0.169,-1.042,0.087,0.039,0.035,483.15,469.35,-207.45,,
11.533,1.463,-1.141,-0.023,-0.002,0.114,484.95,466.95,-206.4,,
10.56,1.332,-1.812,0.102,-0.081,0.121,483.15,466.65,-207.15,,
8.968,0.973,-1.134,0.111,-0.089,-0.083,485.1,471.9,-207.3,,
6.294,0.25,-0.11,0.211,-0.129,0.011,488.25,476.4,-208.8,,
5.069,0.889,-0.894,0.126,-0.168,0.027,486.6,477.75,-207.6,,
6.973,2.646,-1.312,0.103,-0.041,-0.067,485.85,474,-206.55,,
16.43,5.185,-2.69,0.08,0.053,-0.035,484.2,471,-205.2,,
6.645,2.189,-0.708,-0.029,0.093,0.012,483.6,468.3,-204.45,,
10.003,2.144,-0.971,-0.138,0.093,0.02,483.75,467.1,-205.8,,
9.611,1.715,-1.629,-0.108,0.061,0.114,484.35,467.4,-206.25,,
9.499,1.772,-1.192,-0.03,-0.018,0.122,484.65,472.8,-210.45,,
9.167,2.083,-1.229,-0.063,-0.098,0.224,487.95,475.65,-211.35,,
7.772,1.946,-1.174,-0.108,-0.13,-0.033,489.9,477,-213,,
6.723,1.282,-1.645,0.026,-0.089,-0.245,487.65,474.3,-211.05,,
6.535,0.62,-1.092,-0.013,0.078,-0.238,485.55,470.55,-211.35,,
9.085,0.534,-0.135,0.081,0.023,-0.184,482.85,467.7,-207.45,,
11.28,-0.567,-0.471,0.018,-0.105,-0.105,484.8,467.85,-206.55,,
12.793,-0.015,-0.802,0.094,-0.216,-0.004,484.65,470.1,-206.4,,
13.758,0.162,-1.307,0.156,-0.216,0.082,484.95,475.2,-204.9,,
14.126,-0.612,-1.372,0.202,-0.2,0.089,488.7,477.45,-206.55,,
12.796,0.856,-0.671,0.249,-0.12,0.011,487.8,475.2,-206.4,,
11.11,2.369,-0.468,0.289,-0.081,-0.091,484.2,468,-203.4,,
9.274,1.626,-1.215,0.399,0.023,-0.108,480.75,462.45,-203.4,,
7.008,1.638,-0.23,0.593,0.031,-0.102,481.35,464.25,-203.1,,
5.903,0.568,-0.305,0.561,-0.033,0.016,484.8,463.65,-203.25,,
6.514,0.898,-0.965,0.507,-0.096,-0.014,483.3,465.45,-207,,
10.745,0.578,-2.228,0.539,-0.072,-0.273,484.35,469.2,-207.3,,
8.259,3.099,0.465,0.525,0.008,-0.281,487.65,472.95,-209.85,,
9.523,3.243,0.634,0.562,-0.088,-0.226,487.05,474.15,-213,,
9.84,1.721,-0.024,0.618,-0.08,-0.274,485.25,469.35,-208.95,,
10.114,1.249,-0.484,0.757,-0.128,-0.211,484.05,471.6,-206.25,,
9.511,1.372,-0.281,0.922,0.127,-0.299,484.65,473.1,-202.35,,
9.742,1.961,-0.684,0.922,0.262,-0.244,484.2,477.9,-195.6,,
9.062,0.97,-1.454,0.757,0.223,-0.165,492.6,482.25,-182.55,,
8.409,2.179,-1.145,0.602,0.214,-0.171,495.45,483.3,-175.5,,
7.244,2.534,-0.566,0.383,0.126,-0.162,498,482.4,-171.6,,
7.019,1.969,-0.589,0.29,0.133,-0.1,500.85,483.15,-170.1,,
8.402,1.465,-1.298,0.189,0.11,-0.06,498.75,482.85,-169.65,,
10.885,1.062,-1.387,0.141,0.03,-0.06,496.5,483,-174.3,,
10.487,1.24,-1.469,0.103,0.046,-0.043,493.95,483.6,-179.55,,
13.692,0.289,-2.109,0.094,0.069,0.035,491.85,483.3,-183.6,,
15.366,1.003,-2.095,0.111,0.014,-0.067,488.55,478.35,-190.5,,
14.084,1.914,-2.184,-0.005,0.117,-0.066,484.95,477,-203.4,,
12.656,3.601,-0.671,0.305,0.055,0.003,486.75,472.5,-208.95,,
7.941,1.434,-0.702,1.167,0.119,0.278,487.8,471.45,-211.5,,
3.644,0.902,-0.016,1.648,0.113,0.4,487.2,473.25,-211.8,,
5.088,1.087,-0.508,1.726,0.105,0.274,486.3,471.75,-210.15,,
11.899,3.311,-1.747,1.394,0.224,0.058,485.85,471.9,-209.1,,
9.26,3.934,-0.21,0.896,0.143,-0.01,484.35,469.2,-209.85,,
9.058,3.843,-1.191,0.578,0.127,-0.194,484.65,466.2,-211.95,,
9.5,3.776,-1.125,0.509,0.166,-0.296,485.1,469.5,-213.6,,
8.928,3.469,-0.72,0.555,0.142,-0.125,486.9,470.85,-212.55,,
8.729,3.544,-0.373,0.522,0.086,0.103,486.3,471,-213,,
7.282,2.601,-0.596,0.63,0.047,0.281,487.2,470.25,-211.8,,
7.359,1.76,-0.889,0.605,0.079,0.399,485.1,463.35,-209.85,,
9.001,0.962,-1.036,0.652,0.118,0.453,483.6,465.6,-209.4,,
9.033,-0.051,-1.306,0.675,0.143,0.586,483,461.25,-207.6,,
10.118,-1.21,-2.066,0.604,0.118,0.501,480.6,462.3,-204,,
12.655,-0.629,-2.802,0.341,0.165,0.518,482.85,466.65,-206.7,,
14.277,0.76,-1.912,0.309,0.086,0.534,485.85,470.85,-207.6,,
14.844,-0.808,-2.134,0.217,0.046,0.41,488.1,476.25,-211.5,,
11.562,1.04,-0.513,0.28,-0.009,0.19,485.25,474.15,-210.15,,
9.78,1.355,-0.472,0.272,0.007,0.214,484.8,471.6,-206.55,,
8.95,1.032,-1.239,0.28,0.086,0.323,482.55,470.4,-207.15,,
7.117,1.463,-0.278,0.234,0.101,0.159,486.15,470.85,-209.55,,
5.748,2.846,0.611,0.017,0.094,0.083,483.3,471.6,-206.25,,
8.076,2.561,-1.178,-0.17,0.014,-0.003,485.1,475.35,-202.8,,
10.847,-0.05,-3.443,-0.224,-0.026,-0.018,488.1,480.3,-202.65,,
9.365,2.516,-0.92,-0.186,-0.002,0.146,488.25,480.6,-198.45,,
9.607,2.555,-1.003,-0.225,-0.034,0.108,487.8,479.7,-198.6,,
9.227,2.629,-1.282,-0.24,-0.026,-0.025,486,476.55,-197.1,,
9.463,1.99,-1.604,-0.044,0.014,-0.136,487.05,477.6,-195.6,,
8.3,1.544,-1.586,0.103,0.069,-0.043,486.9,477.75,-197.7,,
6.522,1.15,-1.254,0.103,0.062,0.019,486.9,476.4,-195.75,,
6.844,0.353,-0.788,-0.014,-0.089,-0.066,487.65,477.75,-196.5,,
7.961,-0.117,-0.461,-0.03,-0.082,-0.003,491.85,485.7,-199.2,,
9.883,-1.263,-0.724,0.064,0.014,-0.011,500.85,493.8,-206.7,,
13.129,-1.168,-0.205,0.093,-0.018,0.152,506.4,497.4,-209.1,,
14.332,-0.598,-1.041,0.141,0.053,-0.02,502.35,494.1,-210.75,,
16.632,-0.628,-1.284,0.049,0.054,-0.16,497.4,489,-213.45,,
15.983,-0.539,-0.849,0.057,0.03,-0.074,488.55,474.15,-210.15,,
10.816,1.708,-1.48,-0.037,-0.009,-0.136,484.95,463.2,-207.9,,
7.828,1.491,-1.213,-0.146,-0.002,-0.127,482.7,458.55,-205.5,,
6.249,1.089,-0.726,-0.208,0.045,0.006,482.85,460.8,-205.65,,
5.852,0.725,-1.098,-0.084,-0.034,-0.058,483.9,463.2,-210.75,,
8.247,1.298,-2.2,-0.194,0.029,0.045,485.25,468,-211.5,,
8.837,2.659,-2.123,-0.092,-0.018,0.005,487.95,476.1,-212.55,,
8.981,2.954,-1.053,0.024,0.014,0.019,485.25,472.8,-209.7,,
9.114,2.629,-1.112,0,0.046,0.168,484.65,465.6,-207.15,,
9.588,2.88,-1.573,-0.046,-0.041,0.13,483.75,462,-208.35,,
9.527,2.664,-2.264,-0.054,-0.025,0.153,482.55,460.05,-208.95,,
8.217,2.31,-2.316,-0.046,0.014,0.153,482.7,462.3,-209.1,,
8.628,2.566,-2.348,-0.085,0.093,0.107,482.85,461.7,-208.2,,
9.254,1.645,-2.315,-0.264,-0.003,0.17,482.7,465,-207,,
11.62,1.85,-1.333,-0.451,-0.099,0.18,485.7,472.5,-206.7,,
9.217,0.217,0.693,-0.879,-0.068,0.167,486.9,476.7,-211.35,,
9.856,0.838,1.333,-1.05,-0.084,0.152,488.1,475.5,-213.45,,
8.01,0.691,0.567,-1.058,0.02,0.191,487.2,471.6,-212.1,,
6.178,-0.811,0.658,-0.911,-0.107,0.229,485.7,466.65,-210.75,,
9.453,1.22,-0.291,-0.678,-0.051,0.329,483.3,462.6,-213.9,,
6.894,-1.531,0.017,-0.318,0.14,0.108,484.95,465.15,-212.25,,
8.546,-0.143,-0.591,-0.318,0.061,0.1,485.7,466.95,-214.2,,
12.619,-0.38,-1.523,-0.403,-0.067,-0.056,487.05,470.1,-217.05,,
15.138,-1.348,-2.417,-0.464,-0.051,-0.274,489.45,469.5,-222.9,,
14.673,-0.463,-1.567,-0.526,-0.011,-0.227,495.6,475.5,-227.1,,
13.866,-1.391,-1.977,-0.589,-0.058,-0.218,495.6,477.3,-227.85,,
12.381,-0.653,-1.669,-0.504,-0.083,-0.063,491.1,474.75,-220.95,,
10.649,0.089,-1.446,-0.425,0.021,-0.189,485.7,468.6,-215.7,,
9.171,0.463,-1.326,-0.263,0.006,0.014,484.2,468,-210.45,,
7.591,1.395,-1.401,-0.28,-0.042,0.108,483.15,465.9,-205.95,,
6.115,0.614,-0.97,-0.195,-0.089,0.138,483.75,468.15,-206.55,,
6.915,1.984,-0.65,-0.069,-0.089,0.036,485.85,470.85,-207.3,,
8.725,1.893,-0.79,-0.027,-0.002,-0.3,486.9,474.75,-208.35,,
10.179,1.376,-1.236,-0.059,0.061,-0.277,490.95,479.7,-211.5,,
9.301,0.979,-1.75,-0.036,0.141,-0.261,491.55,479.85,-211.35,,
9.809,2.572,-0.985,0.095,0.125,-0.106,486.6,473.7,-212.55,,
9.102,2.718,-0.61,0.158,0.062,-0.138,486.15,469.2,-211.35,,
7.996,1.737,-1.162,0.267,0.086,-0.217,485.25,467.25,-210.45,,
6.976,1.295,-0.555,0.135,0.046,-0.216,482.85,464.55,-211.95,,
6.351,-0.688,-0.065,0.087,-0.05,-0.059,484.8,467.4,-213.3,,
8.504,0.307,-0.287,0.021,0.173,-0.488,485.25,470.4,-215.7,,
9.259,-1.876,-0.943,0.021,0.165,-0.488,487.2,471.9,-217.65,,
12.233,-3.687,-1.74,0.027,0.094,-0.364,490.05,475.65,-218.4,,
13.097,-3.18,-2.496,0.018,0.069,-0.128,489.15,477.3,-216.75,,
13.765,-1.196,-2.209,-0.186,-0.042,0.076,485.7,475.95,-204.9,,
15.291,-2.164,-2.233,-0.291,-0.106,-0.447,485.55,475.05,-198.75,,
12.025,-1.393,-1.915,-0.356,-0.328,-0.189,486.15,475.05,-195.15,,
10.515,-0.785,-1.158,-0.376,-0.344,0.43,483.75,470.25,-200.25,,
7.64,-0.957,-0.775,-0.282,-0.114,0.342,486.3,470.4,-199.65,,
7.759,0.335,-1.303,-0.164,0.045,0.349,488.25,480.6,-196.95,,
7.241,0.524,-0.302,-0.04,-0.025,0.27,498.3,493.95,-189.6,,
8.448,0.304,-0.409,-0.063,-0.082,0.302,503.4,496.5,-189.3,,
7.976,1.62,-0.711,-0.094,-0.105,0.208,502.35,496.2,-193.35,,
9.992,1.93,-1.606,-0.101,-0.114,0.02,494.1,487.95,-193.05,,
9.637,1.127,-1.196,-0.178,-0.073,-0.033,487.2,478.5,-195.15,,
9.606,0.996,-1.907,-0.202,-0.073,0.139,484.8,469.2,-201.45,,
9.721,1.648,-0.152,-0.132,-0.01,0.084,484.35,471.3,-202.5,,
9.875,1.218,-0.611,-0.132,-0.073,0.162,484.8,473.7,-199.95,,
9.187,1.304,-0.302,0.047,-0.089,0.019,486.9,478.2,-201.45,,
8.935,1.24,-0.291,0.021,-0.176,0.418,491.85,485.1,-204.3,,
8.411,0.604,-0.077,-0.149,-0.176,0.256,492.6,486,-207.3,,
7.482,1.183,-0.211,-0.248,-0.233,0.046,492.45,483.75,-209.4,,
